method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha
oracle_split,lte,0.99725,76.38984117665315,131.33646611345125,0.48725,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
confidence_exit,lte,0.9863333333333333,19.632245161371088,19.199,0.0,8.333333333333333e-05,0.009814709583333331,0.9999166666666667,8.333333333333333e-05,0.0,0.013667805650470873,8.333333333333333e-05,0.0,0.0,0.0,0.0,mnist,7,0.1
branchynet,lte,0.978,19.204670975000006,19.199,0.0,0.0,0.009602835249999999,1.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,mnist,7,0.1
deadline_greedy,lte,0.99725,76.38984117665315,131.33646611345125,0.48725,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
aodpart,lte,0.9863333333333333,19.632245161371088,19.199,0.0,8.333333333333333e-05,0.009814709583333331,0.9999166666666667,8.333333333333333e-05,0.0,0.013667805650470873,8.333333333333333e-05,0.0,0.0,0.0,0.0,mnist,7,0.1
conformal_exit,lte,0.9960833333333333,23.289876821470497,52.461424501019394,0.0255,0.049833333333333334,0.009747516166666666,0.9501666666666667,0.049833333333333334,0.0,0.0020171899666725137,0.049833333333333334,0.0,0.0,0.0,0.0,mnist,7,0.1
crc_exit,lte,0.9955833333333334,21.916595671709064,41.8829,0.005083333333333333,0.008083333333333333,0.010599985166666666,0.9919166666666667,0.008083333333333333,0.0,0.002856422750567084,0.008083333333333333,0.0,0.0,0.0,0.0,mnist,7,0.1
coda_sc,lte,0.9960833333333333,22.472820316666677,60.7726,0.0,0.0,0.011236835166666665,0.9501666666666667,0.0,0.049833333333333334,0.0020171899666725137,0.0,0.0,0.0,0.0,0.049833333333333334,mnist,7,0.1
coda_risk,lte,0.9955833333333334,21.682290650000006,41.8829,0.0,0.0,0.010841563666666663,0.9919166666666667,0.0,0.008083333333333333,0.002856422750567084,0.0,0.0,0.0,0.0,0.008083333333333333,mnist,7,0.1
local_only,congested,0.99725,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,7,0.1
cloud_only,congested,0.99725,135.4203440199918,273.3510176778152,0.8504166666666667,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
static_split,congested,0.99725,135.4203440199918,273.3510176778152,0.8504166666666667,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
oracle_split,congested,0.99725,135.4203440199918,273.3510176778152,0.8504166666666667,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
confidence_exit,congested,0.9863333333333333,19.632264210394403,19.199,0.0,8.333333333333333e-05,0.009814709583333331,0.9999166666666667,8.333333333333333e-05,0.0,0.013667805650470873,8.333333333333333e-05,0.0,0.0,0.0,0.0,mnist,7,0.1
branchynet,congested,0.978,19.204670975000006,19.199,0.0,0.0,0.009602835249999999,1.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,mnist,7,0.1
deadline_greedy,congested,0.99725,135.4203440199918,273.3510176778152,0.8504166666666667,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
aodpart,congested,0.9863333333333333,19.633431808333338,19.199,0.0,0.0,0.009817200083333331,0.9999166666666667,0.0,8.333333333333333e-05,0.013667805650470873,0.0,0.0,0.0,0.0,8.333333333333333e-05,mnist,7,0.1
conformal_exit,congested,0.9960833333333333,26.161808324254885,64.5499,0.041666666666666664,0.049833333333333334,0.009747516166666666,0.9501666666666667,0.049833333333333334,0.0,0.0020171899666725137,0.049833333333333334,0.0,0.0,0.0,0.0,mnist,7,0.1
crc_exit,congested,0.9955833333333334,22.233012889967117,41.8829,0.006583333333333333,0.008083333333333333,0.010599985166666666,0.9919166666666667,0.008083333333333333,0.0,0.002856422750567084,0.008083333333333333,0.0,0.0,0.0,0.0,mnist,7,0.1
coda_sc,congested,0.9960833333333333,22.472820316666677,60.7726,0.0,0.0,0.011236835166666665,0.9501666666666667,0.0,0.049833333333333334,0.0020171899666725137,0.0,0.0,0.0,0.0,0.049833333333333334,mnist,7,0.1
